DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
05-Dec-2025,EQ,"3,777.00","3,828.00","3,777.00","3,800.40","3,813.00","3,813.30","3,815.44","3,956.00","2,925.00",508448,"1,93,99,55,053.20",33788
04-Dec-2025,EQ,"3,805.00","3,830.00","3,778.00","3,817.80","3,794.00","3,800.40","3,806.67","3,956.00","2,925.00",776693,"2,95,66,13,836.40",68347
03-Dec-2025,EQ,"3,870.00","3,880.00","3,785.90","3,885.80","3,820.00","3,817.80","3,834.25","3,956.00","2,925.00",770638,"2,95,48,21,683.90",63741
02-Dec-2025,EQ,"3,875.00","3,899.60","3,867.50","3,894.90","3,886.50","3,885.80","3,883.61","3,956.00","2,925.00",661018,"2,56,71,38,009.50",56435
01-Dec-2025,EQ,"3,907.70","3,910.70","3,861.30","3,907.70","3,888.00","3,894.90","3,884.58","3,956.00","2,925.00",603073,"2,34,26,86,154.50",54745
28-Nov-2025,EQ,"3,906.20","3,934.90","3,896.50","3,903.30","3,900.00","3,907.70","3,913.89","3,956.00","2,925.00",574817,"2,24,97,70,708.40",51721
27-Nov-2025,EQ,"3,900.60","3,927.00","3,875.10","3,897.70","3,907.50","3,903.30","3,907.77","3,956.00","2,925.00",542241,"2,11,89,52,439.50",50635
26-Nov-2025,EQ,"3,845.00","3,914.50","3,843.50","3,855.10","3,899.60","3,897.70","3,893.74","3,956.00","2,925.00",364592,"1,41,96,24,757.80",43153
25-Nov-2025,EQ,"3,874.40","3,908.40","3,845.00","3,874.30","3,847.10","3,855.10","3,872.42","3,956.00","2,925.00",680366,"2,63,46,60,808.60",48164
24-Nov-2025,EQ,"3,915.50","3,937.20","3,865.00","3,904.20","3,892.20","3,874.30","3,885.15","3,956.00","2,925.00",1258036,"4,88,76,61,579.70",68977
21-Nov-2025,EQ,"3,901.00","3,925.00","3,882.10","3,902.40","3,902.10","3,904.20","3,906.36","3,956.00","2,925.00",383311,"1,49,73,52,037.70",43858
20-Nov-2025,EQ,"3,950.00","3,956.00","3,895.00","3,933.10","3,900.00","3,902.40","3,926.19","3,956.00","2,925.00",762391,"2,99,32,94,005.00",63827
19-Nov-2025,EQ,"3,882.90","3,940.50","3,862.40","3,879.20","3,934.80","3,933.10","3,914.00","3,940.50","2,925.00",1578123,"6,17,67,70,099.90",76028
18-Nov-2025,EQ,"3,865.00","3,900.00","3,841.60","3,868.60","3,885.00","3,879.20","3,869.17","3,900.00","2,925.00",849966,"3,28,86,62,094.70",42250
