DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Nov-2025,EQ,"1,385.10","1,388.40","1,361.30","1,398.00","1,374.50","1,376.30","1,371.13","1,859.40","1,135.00",1004263,"1,37,69,72,330.70",31700
27-Nov-2025,EQ,"1,384.00","1,402.90","1,365.00","1,387.00","1,388.90","1,398.00","1,382.35","1,859.40","1,135.00",625765,"86,50,28,211.20",25296
26-Nov-2025,EQ,"1,351.10","1,392.50","1,351.10","1,356.30","1,387.00","1,387.00","1,382.58","1,859.40","1,135.00",477248,"65,98,32,144.70",27451
25-Nov-2025,EQ,"1,355.00","1,365.50","1,343.60","1,354.60","1,365.50","1,356.30","1,353.97","1,859.40","1,135.00",591991,"80,15,37,025.90",25515
24-Nov-2025,EQ,"1,390.50","1,404.00","1,346.30","1,395.80","1,361.00","1,354.60","1,361.21","1,859.40","1,135.00",3415624,"4,64,93,67,553.70",58804
21-Nov-2025,EQ,"1,401.00","1,418.00","1,382.80","1,411.80","1,398.30","1,395.80","1,396.26","1,859.40","1,135.00",1221980,"1,70,61,98,082.50",34871
20-Nov-2025,EQ,"1,399.50","1,418.00","1,394.00","1,401.80","1,411.10","1,411.80","1,410.12","1,859.40","1,135.00",656309,"92,54,75,077.70",27798
19-Nov-2025,EQ,"1,390.00","1,404.50","1,383.60","1,384.20","1,401.60","1,401.80","1,398.45","1,859.40","1,135.00",709008,"99,15,15,236.30",28740
18-Nov-2025,EQ,"1,373.00","1,395.80","1,364.70","1,373.90","1,388.00","1,384.20","1,383.04","1,859.40","1,135.00",768433,"1,06,27,72,382.50",29100
17-Nov-2025,EQ,"1,354.00","1,390.00","1,353.10","1,350.90","1,376.70","1,373.90","1,376.26","1,859.40","1,135.00",1487978,"2,04,78,48,211.90",45987
14-Nov-2025,EQ,"1,304.00","1,385.50","1,299.30","1,336.90","1,353.10","1,350.90","1,353.26","1,859.40","1,135.00",4110953,"5,56,31,93,964.80",125294
13-Nov-2025,EQ,"1,329.90","1,345.00","1,313.60","1,337.60","1,330.00","1,336.90","1,332.45","1,859.40","1,135.00",906489,"1,20,78,51,089.50",40674
12-Nov-2025,EQ,"1,305.00","1,343.00","1,304.60","1,303.80","1,328.00","1,337.60","1,328.09","1,859.40","1,135.00",960761,"1,27,59,76,342.00",41807
11-Nov-2025,EQ,"1,330.00","1,339.00","1,299.00","1,340.70","1,304.90","1,303.80","1,313.07","1,859.40","1,135.00",1314969,"1,72,66,46,058.90",52903
10-Nov-2025,EQ,"1,320.00","1,374.80","1,308.50","1,321.50","1,340.50","1,340.70","1,347.79","1,859.40","1,135.00",1057635,"1,42,54,67,819.50",45179
